symbol	ensg	source
OTOA	ENSG00000155719	CTdb
CCDC62	ENSG00000130783	CTdb
GPATCH2	ENSG00000092978	CTdb
CEP55	ENSG00000138180	CTdb
TEX14	ENSG00000121101	CTdb
CTNNA2	ENSG00000066032	CTdb
FAM133A	ENSG00000179083	CTdb
ANKRD45	ENSG00000183831	CTdb
None	ENSG00000285777	CTdb
ELOVL4	ENSG00000118402	CTdb
IGSF11	ENSG00000144847	CTdb
TMEFF1	ENSG00000241697	CTdb
TMEFF2	ENSG00000144339	CTdb
ARX	ENSG00000004848	CTdb
SPEF2	ENSG00000152582	CTdb
GPAT2	ENSG00000186281	CTdb
TMEM108	ENSG00000144868	CTdb
NOL4	ENSG00000101746	CTdb
SPAG4	ENSG00000061656	CTdb
MAEL	ENSG00000143194	CTdb
CNOT9	ENSG00000144580	CTdb
PRAME	ENSG00000185686	CTdb
TEX101	ENSG00000131126	CTdb
SPATA19	ENSG00000166118	CTdb
ODF1	ENSG00000155087	CTdb
ODF2	ENSG00000136811	CTdb
CIMAP1A	ENSG00000177947	CTdb
ODF4	ENSG00000184650	CTdb
ATAD2	ENSG00000156802	CTdb
SPAG1	ENSG00000104450	CTdb
SPAG6	ENSG00000077327	CTdb
SPAG8	ENSG00000137098	CTdb
SPAG17	ENSG00000155761	CTdb
FBXO39	ENSG00000177294	CTdb
RGS22	ENSG00000132554	CTdb
CCND1	ENSG00000110092	CTdb
CCDC83	ENSG00000150676	CTdb
TEKT5	ENSG00000153060	CTdb
NR6A1	ENSG00000148200	CTdb
TMPRSS12	ENSG00000186452	CTdb
TPPP2	ENSG00000179636	CTdb
PRSS55	ENSG00000184647	CTdb
DMRT1	ENSG00000137090	CTdb
DNAJB8	ENSG00000179407	CTdb
CTAG1B	ENSG00000184033	CTdb
CTAG1A	ENSG00000268651	CTdb
GAGE12E	ENSG00000216649	CTdb
GAGE12D	ENSG00000227488	CTdb
GAGE12B	ENSG00000236737	CTdb
GAGE12C	ENSG00000237671	CTdb
GAGE2E	ENSG00000275113	CTdb
GAGE12C	ENSG00000237671	CTdb
GAGE12D	ENSG00000227488	CTdb
GAGE12E	ENSG00000216649	CTdb
GAGE12F	ENSG00000236362	CTdb
GAGE12G	ENSG00000215269	CTdb
GAGE12H	ENSG00000224902	CTdb
GAGE12G	ENSG00000215269	CTdb
GAGE12F	ENSG00000236362	CTdb
GAGE12J	ENSG00000224659	CTdb
GAGE13	ENSG00000274274	CTdb
MAGEA2B	ENSG00000183305	CTdb
MAGEA9	ENSG00000123584	CTdb
MAGEA9B	ENSG00000267978	CTdb
NXF2B	ENSG00000269437	CTdb
SPANXA2	ENSG00000203926	CTdb
SSX4	ENSG00000268009	CTdb
SSX4B	ENSG00000269791	CTdb
SSX5	ENSG00000165583	CTdb
SSX7	ENSG00000187754	CTdb
TSPY2	ENSG00000168757	CTdb
TSPY1	ENSG00000258992	CTdb
A1BG	ENSG00000121410	CARTSC
ACP3	ENSG00000014257	CARTSC
ACTBL2	ENSG00000169067	CARTSC
ADAM30	ENSG00000134249	CARTSC
ADAMTS6	ENSG00000049192	CARTSC
ADGRV1	ENSG00000164199	CARTSC
AFM	ENSG00000079557	CARTSC
AFP	ENSG00000081051	CARTSC
AHSG	ENSG00000145192	CARTSC
ALAS2	ENSG00000158578	CARTSC
ALMS1	ENSG00000116127	CARTSC
ALPG	ENSG00000163286	CARTSC
ALPP	ENSG00000163283	CARTSC
AMBP	ENSG00000106927	CARTSC
ANGPT1	ENSG00000154188	CARTSC
ANKRD55	ENSG00000164512	CARTSC
ANO7	ENSG00000146205	CARTSC
APOA1	ENSG00000118137	CARTSC
APOA2	ENSG00000158874	CARTSC
APOBEC3G	ENSG00000239713	CARTSC
APOH	ENSG00000091583	CARTSC
ARHGAP45	ENSG00000180448	CARTSC
ART3	ENSG00000156219	CARTSC
ATCAY	ENSG00000167654	CARTSC
ATP6V0A4	ENSG00000105929	CARTSC
ATP6V0D2	ENSG00000147614	CARTSC
AURKA	ENSG00000087586	CARTSC
AURKB	ENSG00000178999	CARTSC
AXL	ENSG00000167601	CARTSC
AZU1	ENSG00000172232	CARTSC
BANK1	ENSG00000153064	CARTSC
BMX	ENSG00000102010	CARTSC
BNC2	ENSG00000173068	CARTSC
BPI	ENSG00000101425	CARTSC
BRDT	ENSG00000137948	CARTSC
BSG	ENSG00000172270	CARTSC
BTK	ENSG00000010671	CARTSC
C11orf42	ENSG00000180878	CARTSC
C16orf89	ENSG00000153446	CARTSC
C16orf95	ENSG00000260456	CARTSC
C17orf64	ENSG00000141371	CARTSC
C2	ENSG00000166278	CARTSC
C3AR1	ENSG00000171860	CARTSC
C5	ENSG00000106804	CARTSC
C6	ENSG00000039537	CARTSC
C8orf48	ENSG00000164743	CARTSC
C9orf24	ENSG00000164972	CARTSC
CACNG3	ENSG00000006116	CARTSC
CAPZA3	ENSG00000177938	CARTSC
CARD11	ENSG00000198286	CARTSC
CBL	ENSG00000110395	CARTSC
CBX2	ENSG00000173894	CARTSC
CC2D2A	ENSG00000048342	CARTSC
CC2D2B	ENSG00000188649	CARTSC
CCDC114	ENSG00000105479	CARTSC
CCDC13	ENSG00000244607	CARTSC
CCDC138	ENSG00000163006	CARTSC
CCDC17	ENSG00000159588	CARTSC
CCDC173	ENSG00000154479	CARTSC
CCDC40	ENSG00000141519	CARTSC
CCDC88A	ENSG00000115355	CARTSC
CCNB3	ENSG00000147082	CARTSC
CCR2	ENSG00000121807	CARTSC
CCR8	ENSG00000179934	CARTSC
CCR9	ENSG00000173585	CARTSC
CD163L1	ENSG00000177675	CARTSC
CD19	ENSG00000177455	CARTSC
CD1D	ENSG00000158473	CARTSC
CD1E	ENSG00000158488	CARTSC
CD2	ENSG00000116824	CARTSC
CD22	ENSG00000012124	CARTSC
CD247	ENSG00000198821	CARTSC
CD27	ENSG00000139193	CARTSC
CD274	ENSG00000120217	CARTSC
CD276	ENSG00000103855	CARTSC
CD33	ENSG00000105383	CARTSC
CD34	ENSG00000174059	CARTSC
CD37	ENSG00000104894	CARTSC
CD38	ENSG00000004468	CARTSC
CD3D	ENSG00000167286	CARTSC
CD3G	ENSG00000160654	CARTSC
CD4	ENSG00000010610	CARTSC
CD40LG	ENSG00000102245	CARTSC
CD5	ENSG00000110448	CARTSC
CD5L	ENSG00000073754	CARTSC
CD7	ENSG00000173762	CARTSC
CD70	ENSG00000125726	CARTSC
CD72	ENSG00000137101	CARTSC
CD79A	ENSG00000105369	CARTSC
CD79B	ENSG00000007312	CARTSC
CD80	ENSG00000121594	CARTSC
CD83	ENSG00000112149	CARTSC
CD86	ENSG00000114013	CARTSC
CDH8	ENSG00000150394	CARTSC
CEACAM3	ENSG00000170956	CARTSC
CEACAM5	ENSG00000105388	CARTSC
CEACAM8	ENSG00000124469	CARTSC
CELSR3	ENSG00000008300	CARTSC
CETN1	ENSG00000177143	CARTSC
CFAP126	ENSG00000188931	CARTSC
CFAP206	ENSG00000272514	CARTSC
CFAP299	ENSG00000197826	CARTSC
CFAP77	ENSG00000188523	CARTSC
CFHR1	ENSG00000244414	CARTSC
CFHR2	ENSG00000080910	CARTSC
CHAD	ENSG00000136457	CARTSC
CHAT	ENSG00000070748	CARTSC
CLC	ENSG00000105205	CARTSC
CLDN16	ENSG00000113946	CARTSC
CLDN18	ENSG00000066405	CARTSC
CLEC12A	ENSG00000172322	CARTSC
CLGN	ENSG00000153132	CARTSC
CLNK	ENSG00000109684	CARTSC
CLPSL1	ENSG00000204140	CARTSC
CLPSL2	ENSG00000196748	CARTSC
COL22A1	ENSG00000169436	CARTSC
COL2A1	ENSG00000139219	CARTSC
COL7A1	ENSG00000114270	CARTSC
COMMD3-BMI1	ENSG00000269897	CARTSC
CPB2	ENSG00000080618	CARTSC
CPN2	ENSG00000178772	CARTSC
CPNE4	ENSG00000196353	CARTSC
CSN1S1	ENSG00000126545	CARTSC
CST11	ENSG00000125831	CARTSC
CT45A1	ENSG00000268940	CARTSC
CT45A10	ENSG00000269586	CARTSC
CT45A2	ENSG00000271449	CARTSC
CT45A3	ENSG00000269096	CARTSC
CT45A5	ENSG00000228836	CARTSC
CT45A6	ENSG00000278289	CARTSC
CT45A7	ENSG00000273696	CARTSC
CT45A8	ENSG00000278085	CARTSC
CT45A9	ENSG00000270946	CARTSC
CTAG1A	ENSG00000268651	CARTSC
CTAG1B	ENSG00000184033	CARTSC
CTAG2	ENSG00000126890	CARTSC
CXCR1	ENSG00000163464	CARTSC
CXCR2	ENSG00000180871	CARTSC
CYP19A1	ENSG00000137869	CARTSC
CYP4F12	ENSG00000186204	CARTSC
CYP4F8	ENSG00000186526	CARTSC
DAZ1	ENSG00000188120	CARTSC
DAZ2	ENSG00000205944	CARTSC
DAZ3	ENSG00000187191	CARTSC
DAZ4	ENSG00000205916	CARTSC
DAZL	ENSG00000092345	CARTSC
DCAF4L2	ENSG00000176566	CARTSC
DCLK2	ENSG00000170390	CARTSC
DDX4	ENSG00000152670	CARTSC
DEF6	ENSG00000023892	CARTSC
DEFA5	ENSG00000164816	CARTSC
DEFB104A	ENSG00000176782	CARTSC
DEFB104B	ENSG00000177023	CARTSC
DEFB129	ENSG00000125903	CARTSC
DEFB132	ENSG00000186458	CARTSC
DENND1C	ENSG00000205744	CARTSC
DKK4	ENSG00000104371	CARTSC
DLL3	ENSG00000090932	CARTSC
DMRTC2	ENSG00000142025	CARTSC
DNAH10	ENSG00000197653	CARTSC
DNAH12	ENSG00000174844	CARTSC
DNAH17	ENSG00000187775	CARTSC
DNAH6	ENSG00000115423	CARTSC
DNAJB7	ENSG00000172404	CARTSC
DOK3	ENSG00000146094	CARTSC
DONSON	ENSG00000159147	CARTSC
DPEP3	ENSG00000141096	CARTSC
DPPA4	ENSG00000121570	CARTSC
DYRK4	ENSG00000010219	CARTSC
EGFR	ENSG00000146648	CARTSC
ELANE	ENSG00000197561	CARTSC
ENPP6	ENSG00000164303	CARTSC
EOMES	ENSG00000163508	CARTSC
EPB42	ENSG00000166947	CARTSC
EPCAM	ENSG00000119888	CARTSC
EPHA2	ENSG00000142627	CARTSC
EPO	ENSG00000130427	CARTSC
EPX	ENSG00000121053	CARTSC
ERBB2	ENSG00000141736	CARTSC
ERBB3	ENSG00000065361	CARTSC
ERBB4	ENSG00000178568	CARTSC
ERICH3	ENSG00000178965	CARTSC
ERN2	ENSG00000134398	CARTSC
ESR1	ENSG00000091831	CARTSC
ESR2	ENSG00000140009	CARTSC
F12	ENSG00000131187	CARTSC
F13B	ENSG00000143278	CARTSC
F5	ENSG00000198734	CARTSC
FABP12	ENSG00000197416	CARTSC
FAM166A	ENSG00000188163	CARTSC
FAM183A	ENSG00000186973	CARTSC
FAM186B	ENSG00000135436	CARTSC
FAM216A	ENSG00000204856	CARTSC
FAM71B	ENSG00000170613	CARTSC
FAM76B	ENSG00000077458	CARTSC
FAP	ENSG00000078098	CARTSC
FASLG	ENSG00000117560	CARTSC
FBN2	ENSG00000138829	CARTSC
FBXO10	ENSG00000147912	CARTSC
FCER2	ENSG00000104921	CARTSC
FCGR2B	ENSG00000072694	CARTSC
FCRL1	ENSG00000163534	CARTSC
FCRL4	ENSG00000163518	CARTSC
FCRLA	ENSG00000132185	CARTSC
FFAR3	ENSG00000185897	CARTSC
FGA	ENSG00000171560	CARTSC
FGF3	ENSG00000186895	CARTSC
FGF7	ENSG00000140285	CARTSC
FGF9	ENSG00000102678	CARTSC
FGG	ENSG00000171557	CARTSC
FGR	ENSG00000000938	CARTSC
FLG2	ENSG00000143520	CARTSC
FLRT1	ENSG00000126500	CARTSC
FLT3	ENSG00000122025	CARTSC
FNDC7	ENSG00000143107	CARTSC
FNDC8	ENSG00000073598	CARTSC
FOLH1	ENSG00000086205	CARTSC
FOLR1	ENSG00000110195	CARTSC
FOLR2	ENSG00000165457	CARTSC
FOLR3	ENSG00000110203	CARTSC
FOSL1	ENSG00000175592	CARTSC
FOXA2	ENSG00000125798	CARTSC
FOXL2	ENSG00000183770	CARTSC
FPR1	ENSG00000171051	CARTSC
FST	ENSG00000134363	CARTSC
FYB1	ENSG00000082074	CARTSC
GABRB1	ENSG00000163288	CARTSC
GAPDHS	ENSG00000105679	CARTSC
GAST	ENSG00000184502	CARTSC
GBP5	ENSG00000154451	CARTSC
GCM1	ENSG00000137270	CARTSC
GCNA	ENSG00000147174	CARTSC
GDF15	ENSG00000130513	CARTSC
GLRB	ENSG00000109738	CARTSC
GNLY	ENSG00000115523	CARTSC
GP1BA	ENSG00000185245	CARTSC
GPC3	ENSG00000147257	CARTSC
GRM2	ENSG00000164082	CARTSC
GSC2	ENSG00000063515	CARTSC
GYPA	ENSG00000170180	CARTSC
GZMK	ENSG00000113088	CARTSC
H1-6	ENSG00000187475	CARTSC
H2BC1	ENSG00000146047	CARTSC
HACD4	ENSG00000188921	CARTSC
HAPLN1	ENSG00000145681	CARTSC
HBE1	ENSG00000213931	CARTSC
HBG1	ENSG00000213934	CARTSC
HEPACAM	ENSG00000165478	CARTSC
HERC5	ENSG00000138646	CARTSC
HGFAC	ENSG00000109758	CARTSC
HLA-G	ENSG00000204632	CARTSC
HLTF	ENSG00000071794	CARTSC
HMMR	ENSG00000072571	CARTSC
HOOK1	ENSG00000134709	CARTSC
HOXA11	ENSG00000005073	CARTSC
HOXB4	ENSG00000182742	CARTSC
HPX	ENSG00000110169	CARTSC
HRG	ENSG00000113905	CARTSC
HS3ST2	ENSG00000122254	CARTSC
HSD17B3	ENSG00000130948	CARTSC
HSD3B1	ENSG00000203857	CARTSC
HSPA12A	ENSG00000165868	CARTSC
HSPA1L	ENSG00000204390	CARTSC
HSPA4L	ENSG00000164070	CARTSC
HVCN1	ENSG00000122986	CARTSC
IDO1	ENSG00000131203	CARTSC
IGDCC3	ENSG00000174498	CARTSC
IGF2BP1	ENSG00000159217	CARTSC
IHO1	ENSG00000173421	CARTSC
IKZF1	ENSG00000185811	CARTSC
IKZF3	ENSG00000161405	CARTSC
IL13RA2	ENSG00000123496	CARTSC
IL16	ENSG00000172349	CARTSC
IL1RAP	ENSG00000196083	CARTSC
IL24	ENSG00000162892	CARTSC
IL2RA	ENSG00000134460	CARTSC
IL2RB	ENSG00000100385	CARTSC
IL3RA	ENSG00000185291	CARTSC
IL4I1	ENSG00000104951	CARTSC
IL5	ENSG00000113525	CARTSC
INHBE	ENSG00000139269	CARTSC
IRF4	ENSG00000137265	CARTSC
ISM2	ENSG00000100593	CARTSC
ITGA2B	ENSG00000005961	CARTSC
ITGB7	ENSG00000139626	CARTSC
ITIH2	ENSG00000151655	CARTSC
ITLN1	ENSG00000179914	CARTSC
IZUMO4	ENSG00000099840	CARTSC
JAK3	ENSG00000105639	CARTSC
JAKMIP1	ENSG00000152969	CARTSC
JMJD7-PLA2G4B	ENSG00000168970	CARTSC
KALRN	ENSG00000160145	CARTSC
KCNN4	ENSG00000104783	CARTSC
KDR	ENSG00000128052	CARTSC
KISS1	ENSG00000170498	CARTSC
KIT	ENSG00000157404	CARTSC
KITLG	ENSG00000049130	CARTSC
KLF17	ENSG00000171872	CARTSC
KLK2	ENSG00000167751	CARTSC
KLK3	ENSG00000142515	CARTSC
KLK4	ENSG00000167749	CARTSC
KLRK1	ENSG00000213809	CARTSC
KRT16	ENSG00000186832	CARTSC
KRT4	ENSG00000170477	CARTSC
KRT84	ENSG00000161849	CARTSC
L1CAM	ENSG00000198910	CARTSC
LALBA	ENSG00000167531	CARTSC
LAMA1	ENSG00000101680	CARTSC
LAT2	ENSG00000086730	CARTSC
LCN10	ENSG00000187922	CARTSC
LDLRAD1	ENSG00000203985	CARTSC
LEF1	ENSG00000138795	CARTSC
LEFTY1	ENSG00000243709	CARTSC
LEP	ENSG00000174697	CARTSC
LHX1	ENSG00000273706	CARTSC
LILRA4	ENSG00000239961	CARTSC
LIN28A	ENSG00000131914	CARTSC
LMP1	ENSG00000196923	CARTSC
LRRC36	ENSG00000159708	CARTSC
LRRC56	ENSG00000161328	CARTSC
LRRC6	ENSG00000129295	CARTSC
LRRC73	ENSG00000204052	CARTSC
LTB	ENSG00000227507	CARTSC
LVRN	ENSG00000172901	CARTSC
LYAR	ENSG00000145220	CARTSC
LYZL4	ENSG00000157093	CARTSC
MAGEA1	ENSG00000198681	CARTSC
MAGEA4	ENSG00000147381	CARTSC
MAGEA8	ENSG00000156009	CARTSC
MAGEB1	ENSG00000214107	CARTSC
MAGEB4	ENSG00000120289	CARTSC
MAGEB6	ENSG00000176746	CARTSC
MAGEC1	ENSG00000155495	CARTSC
MAGEC2	ENSG00000046774	CARTSC
MAGEC3	ENSG00000165509	CARTSC
MCTP1	ENSG00000175471	CARTSC
MEF2B	ENSG00000213999	CARTSC
MET	ENSG00000105976	CARTSC
MFAP2	ENSG00000117122	CARTSC
MIA	ENSG00000261857	CARTSC
MME	ENSG00000196549	CARTSC
MMP11	ENSG00000099953	CARTSC
MMP7	ENSG00000137673	CARTSC
MORC4	ENSG00000133131	CARTSC
MOV10L1	ENSG00000073146	CARTSC
MPP2	ENSG00000108852	CARTSC
MRO	ENSG00000134042	CARTSC
MROH2B	ENSG00000171495	CARTSC
MS4A1	ENSG00000156738	CARTSC
MS4A18	ENSG00000214782	CARTSC
MS4A5	ENSG00000166930	CARTSC
MS4A8	ENSG00000166959	CARTSC
MSLN	ENSG00000102854	CARTSC
MTFR2	ENSG00000146410	CARTSC
MUC1	ENSG00000185499	CARTSC
MUC12	ENSG00000205277	CARTSC
MUC16	ENSG00000181143	CARTSC
MUC17	ENSG00000169876	CARTSC
MUCL1	ENSG00000172551	CARTSC
MYO15A	ENSG00000091536	CARTSC
MYO1F	ENSG00000142347	CARTSC
MYO1G	ENSG00000136286	CARTSC
MYO3B	ENSG00000071909	CARTSC
N6AMT1	ENSG00000156239	CARTSC
NAALADL2	ENSG00000177694	CARTSC
NANOG	ENSG00000111704	CARTSC
NANOS2	ENSG00000188425	CARTSC
